Date,Open,High,Low,Close,Adj Close,Volume
2001-03-21,3720.000000,3900.000000,3700.000000,3870.000000,2946.354492,40550000
2001-03-22,3980.000000,3990.000000,3920.000000,3980.000000,3030.101318,37465000
2001-03-23,4090.000000,4370.000000,4080.000000,4300.000000,3273.727295,91755000
2001-03-26,4400.000000,4430.000000,4340.000000,4340.000000,3304.180420,42870000
2001-03-27,4300.000000,4310.000000,4120.000000,4150.000000,3159.528076,31345000
2001-03-28,4260.000000,4260.000000,4150.000000,4150.000000,3159.528076,26075000
2001-03-29,4090.000000,4180.000000,4040.000000,4090.000000,3113.847900,29920000
2001-03-30,4110.000000,4170.000000,4040.000000,4160.000000,3167.141113,30100000
2001-04-02,4040.000000,4100.000000,3960.000000,3990.000000,3037.714600,39140000
2001-04-03,3810.000000,3870.000000,3790.000000,3800.000000,2893.062256,46070000
2001-04-04,3700.000000,3740.000000,3630.000000,3660.000000,2786.474854,62280000
2001-04-05,3660.000000,3660.000000,3660.000000,3660.000000,2786.474854,0
2001-04-06,3960.000000,3960.000000,3780.000000,3840.000000,2923.514648,85290000
2001-04-09,3790.000000,3810.000000,3710.000000,3710.000000,2824.541748,25840000
2001-04-10,3710.000000,3740.000000,3610.000000,3640.000000,2771.248291,39175000
2001-04-11,3780.000000,3800.000000,3720.000000,3720.000000,2832.154785,44515000
2001-04-12,3940.000000,4090.000000,3900.000000,4010.000000,3052.941406,73660000
2001-04-13,4100.000000,4150.000000,4030.000000,4060.000000,3091.007568,38840000
2001-04-16,4060.000000,4080.000000,3940.000000,3940.000000,2999.648438,10200000
2001-04-17,3920.000000,4020.000000,3850.000000,3970.000000,3022.488281,16815000
2001-04-18,4110.000000,4280.000000,4070.000000,4280.000000,3258.501709,47790000
2001-04-19,4620.000000,4920.000000,4580.000000,4700.000000,3578.259277,131305000
2001-04-20,4720.000000,4780.000000,4490.000000,4490.000000,3418.380371,44905000
2001-04-23,4490.000000,4610.000000,4470.000000,4540.000000,3456.447021,31785000
2001-04-24,4410.000000,4420.000000,4330.000000,4400.000000,3349.860596,31185000
2001-04-25,4340.000000,4520.000000,4320.000000,4520.000000,3441.220947,26345000
2001-04-26,4340.000000,4520.000000,4320.000000,4520.000000,3441.220947,26345000
2001-04-27,4410.000000,4450.000000,4310.000000,4340.000000,3304.180420,21695000
2001-04-30,4460.000000,4620.000000,4410.000000,4580.000000,3486.899902,38225000
2001-05-01,4580.000000,4580.000000,4580.000000,4580.000000,3486.899902,0
2001-05-02,4700.000000,4700.000000,4540.000000,4580.000000,3486.899902,36510000
2001-05-03,4620.000000,4620.000000,4490.000000,4600.000000,3502.127441,25895000
2001-05-04,4410.000000,4510.000000,4410.000000,4460.000000,3395.540283,32805000
2001-05-07,4500.000000,4630.000000,4480.000000,4600.000000,3502.127441,17945000
2001-05-08,4590.000000,4620.000000,4520.000000,4590.000000,3494.512939,16825000
2001-05-09,4560.000000,4580.000000,4490.000000,4500.000000,3425.993408,20695000
2001-05-10,4500.000000,4560.000000,4440.000000,4500.000000,3425.993408,24620000
2001-05-11,4460.000000,4470.000000,4400.000000,4410.000000,3357.473389,27705000
2001-05-14,4420.000000,4460.000000,4400.000000,4430.000000,3372.699951,14310000
2001-05-15,4410.000000,4450.000000,4290.000000,4340.000000,3304.180420,26420000
2001-05-16,4300.000000,4370.000000,4200.000000,4210.000000,3205.207520,25895000
2001-05-17,4400.000000,4430.000000,4340.000000,4430.000000,3372.699951,24105000
2001-05-18,4380.000000,4420.000000,4340.000000,4410.000000,3357.473389,18915000
2001-05-21,4500.000000,4620.000000,4430.000000,4580.000000,3486.899902,28160000
2001-05-22,4720.000000,4780.000000,4620.000000,4620.000000,3517.353516,48830000
2001-05-23,4600.000000,4760.000000,4580.000000,4700.000000,3578.259277,21890000
2001-05-24,4560.000000,4600.000000,4510.000000,4530.000000,3448.834473,30275000
2001-05-25,4550.000000,4650.000000,4430.000000,4440.000000,3380.314697,33695000
2001-05-28,4420.000000,4480.000000,4380.000000,4450.000000,3387.927490,18480000
2001-05-29,4430.000000,4640.000000,4430.000000,4640.000000,3532.580811,24280000
2001-05-30,4500.000000,4530.000000,4450.000000,4470.000000,3403.153809,31815000
2001-05-31,4320.000000,4340.000000,4190.000000,4240.000000,3228.047363,63595000
2001-06-01,4300.000000,4300.000000,4210.000000,4240.000000,3228.047363,29315000
2001-06-04,4260.000000,4310.000000,4230.000000,4240.000000,3228.047363,19955000
2001-06-05,4140.000000,4240.000000,4040.000000,4060.000000,3091.007568,51520000
2001-06-06,4060.000000,4060.000000,4060.000000,4060.000000,3091.007568,0
2001-06-07,4080.000000,4310.000000,4080.000000,4280.000000,3258.501709,39865000
2001-06-08,4420.000000,4510.000000,4400.000000,4470.000000,3403.153809,42740000
2001-06-11,4330.000000,4380.000000,4280.000000,4280.000000,3258.501709,24680000
2001-06-12,4220.000000,4300.000000,4210.000000,4220.000000,3212.821045,24195000
2001-06-13,4300.000000,4310.000000,4200.000000,4280.000000,3258.501709,23645000
2001-06-14,4270.000000,4310.000000,4200.000000,4230.000000,3220.434326,27840000
2001-06-15,4190.000000,4200.000000,4120.000000,4190.000000,3189.982178,40870000
2001-06-18,4180.000000,4180.000000,4080.000000,4100.000000,3121.460449,34095000
